id,left,top,right,bottom,_mean,Chlorideme,Fluorideme,Hardnessme,SARmean,Sulfatemea,TDSmean,WellDepthm,Joined lay,LR_prob_Y,NBC_prob_Y,LR_pred_Y,label_NBCpred
1,-18545.2946,1196517.033,-13717.2626,1191689.001,151.4812046,151.4812046,2.642701173,48.17281033,57.12184486,226.487543,1257.948762,747.5001412,0,,,,
2,-18545.2946,1191689.001,-13717.2626,1186860.969,156.6058176,156.6058176,2.737270741,38.10751558,58.29693371,210.9359126,1243.372051,783.226016,0,,,,
3,-13717.2626,1201345.065,-8889.230595,1196517.033,113.0426745,113.0426745,1.965061138,58.01117474,49.43692302,209.4056328,1022.228265,856.9244849,0,,,,
4,-13717.2626,1196517.033,-8889.230595,1191689.001,146.7293018,146.7293018,2.562086,45.91370185,56.47053307,222.8913164,1227.308313,775.3596089,1,,,,
5,-13717.2626,1191689.001,-8889.230595,1186860.969,173.9103884,173.9103884,3.03966986,31.00072027,61.78944601,222.2823365,1363.980597,732.6004936,1,0.988835945,0.869868719,1,1
6,-8889.230595,1201345.065,-4061.198595,1196517.033,106.0066368,106.0066368,1.841983561,57.72344853,48.29071943,206.3977371,979.9570074,890.6203313,0,,,,
7,-8889.230595,1196517.033,-4061.198595,1191689.001,112.2308907,112.2308907,1.960553247,52.88304059,50.25716788,208.2735799,1016.632512,897.4787881,0,,,,
8,-8889.230595,1191689.001,-4061.198595,1186860.969,114.4283189,114.4283189,2.021099335,46.00485286,52.07992486,204.9112154,1021.147626,933.272299,1,,,,
9,-4061.198595,1201345.065,766.8334048,1196517.033,94.33092092,94.33092092,1.629299018,57.71605202,46.00964847,202.4719836,911.9283161,943.980067,0,,,,
10,-4061.198595,1196517.033,766.8334048,1191689.001,97.16067313,97.16067313,1.69021756,54.20338003,47.52272085,204.4027203,931.2088977,964.6713679,0,,,,
11,-4061.198595,1191689.001,766.8334048,1186860.969,96.58472186,96.58472186,1.695891986,49.04829661,48.87783234,205.3808325,931.811297,1013.169616,1,,,,
12,766.8334048,1206173.097,5594.865405,1201345.065,88.22404989,88.22404989,1.504104363,59.08401794,43.80833534,198.971168,872.4341766,949.959018,0,,,,
13,766.8334048,1201345.065,5594.865405,1196517.033,90.53621257,90.53621257,1.555535836,56.72158453,45.18614705,201.5772891,890.5071262,969.6178653,0,,,,
14,766.8334048,1196517.033,5594.865405,1191689.001,91.31372664,91.31372664,1.576299396,53.0851328,46.27320113,203.6554822,899.6507071,1003.916224,1,,,,
15,766.8334048,1191689.001,5594.865405,1186860.969,91.21043856,91.21043856,1.579751055,46.85364942,47.56156941,206.2889347,905.8859373,1062.186794,1,,,,
16,5594.865405,1206173.097,10422.8974,1201345.065,87.95125994,87.95125994,1.49816044,58.80943859,43.74448774,198.9318061,870.8680388,953.5283205,0,,,,
17,5594.865405,1201345.065,10422.8974,1196517.033,88.18959385,88.18959385,1.504908512,56.33280249,44.34784776,200.5044332,875.7020617,980.8703593,1,,,,
18,5594.865405,1196517.033,10422.8974,1191689.001,88.8693141,88.8693141,1.522204438,51.78774099,45.51032733,203.2192788,885.8102137,1026.63571,0,,,,
19,5594.865405,1191689.001,10422.8974,1186860.969,89.63329686,89.63329686,1.533570811,44.16283146,46.86442076,206.3283748,897.159466,1090.75835,0,,,,
20,10422.8974,1201345.065,15250.9294,1196517.033,87.3074121,87.3074121,1.484240475,54.99005551,44.1342481,200.606448,871.0324956,998.3411639,0,,,,
21,10422.8974,1196517.033,15250.9294,1191689.001,87.60232288,87.60232288,1.491359838,51.64147884,44.82626381,202.4914561,877.1268203,1034.10098,0,,,,
22,10422.8974,1191689.001,15250.9294,1186860.969,88.39190371,88.39190371,1.505497706,45.22409695,46.00461848,205.4412866,888.5322022,1093.620009,0,,,,
23,15250.9294,1201345.065,20078.9614,1196517.033,86.36123159,86.36123159,1.458075971,55.38489919,43.38733434,199.5099127,862.6212113,996.6079511,0,,,,
24,15250.9294,1196517.033,20078.9614,1191689.001,86.78117346,86.78117346,1.469712329,52.56490045,44.11711468,201.4490825,869.7307565,1029.440133,0,,,,
25,15250.9294,1191689.001,20078.9614,1186860.969,87.24990691,87.24990691,1.481874128,48.11782866,45.01482032,203.9772319,878.7864142,1079.641408,0,,,,
26,20078.9614,1206173.097,24906.9934,1201345.065,85.51054809,85.51054809,1.430171193,58.39501259,42.07930997,196.5540369,849.9141282,958.5326705,0,,,,
27,20078.9614,1201345.065,24906.9934,1196517.033,85.85724208,85.85724208,1.440427776,56.58687015,42.66151879,198.1538159,855.6776275,982.6447236,0,,,,
28,20078.9614,1196517.033,24906.9934,1191689.001,86.25918306,86.25918306,1.452868128,53.91671799,43.41665871,200.2437915,863.1215808,1017.208698,0,,,,
29,20078.9614,1191689.001,24906.9934,1186860.969,86.56414306,86.56414306,1.462930121,50.80701386,44.11207062,202.3494051,870.251222,1057.845864,1,,,,
30,24906.9934,1206173.097,29735.0254,1201345.065,85.39524659,85.39524659,1.422020098,58.79044215,41.71323155,195.975993,846.9030624,952.4557304,0,,,,
31,24906.9934,1201345.065,29735.0254,1196517.033,85.65178286,85.65178286,1.429863529,57.44204226,42.16307599,197.2357555,851.3533566,971.4804786,1,,,,
32,24906.9934,1196517.033,29735.0254,1191689.001,85.98144917,85.98144917,1.43964801,55.31077022,42.76711289,199.0309574,857.4571725,1001.201752,1,,,,
33,24906.9934,1191689.001,29735.0254,1186860.969,86.24133573,86.24133573,1.44816963,53.04199815,43.32611514,200.7783978,863.2460128,1033.477633,0,,,,
34,29735.0254,1206173.097,34563.0574,1201345.065,85.2756082,85.2756082,1.412414133,59.68169089,41.19943498,194.9792879,842.7133845,938.7408989,0,,,,
35,29735.0254,1201345.065,34563.0574,1196517.033,85.57060384,85.57060384,1.420655156,58.30082485,41.66838997,196.3528117,847.4718687,959.1578946,0,,,,
36,29735.0254,1196517.033,34563.0574,1191689.001,85.87584967,85.87584967,1.429077642,56.63035044,42.17043986,197.8812936,852.6447707,983.6982899,0,,,,
37,29735.0254,1191689.001,34563.0574,1186860.969,86.1370709,86.1370709,1.436471053,54.92493067,42.62903032,199.339204,857.4736825,1009.208517,0,,,,
38,34563.0574,1211001.129,39391.0894,1206173.097,85.04047081,85.04047081,1.398868811,61.31051244,40.41673305,193.1966223,836.0310239,912.7662534,0,,,,
39,34563.0574,1206173.097,39391.0894,1201345.065,85.26794806,85.26794806,1.405175115,60.43171039,40.76129276,194.1850858,839.509875,926.4905361,1,,,,
40,34563.0574,1201345.065,39391.0894,1196517.033,85.58618877,85.58618877,1.413179014,59.16408002,41.20455628,195.5261033,844.1392825,945.9029541,0,,,,
41,34563.0574,1196517.033,39391.0894,1191689.001,85.88548835,85.88548835,1.420555772,57.83939054,41.62544564,196.8343256,848.5894698,966.1096406,1,,,,
42,34563.0574,1191689.001,39391.0894,1186860.969,86.16262187,86.16262187,1.427114564,56.52759178,42.00632605,198.0650389,852.7190098,986.3822266,1,,,,
43,39391.0894,1211001.129,44219.1214,1206173.097,85.11485587,85.11485587,1.396972678,61.48774272,40.27307802,193.033691,835.3155673,909.3659579,0,,,,
44,39391.0894,1206173.097,44219.1214,1201345.065,85.37119651,85.37119651,1.40133885,60.86414645,40.48061075,193.7892979,837.9077414,918.9795448,0,,,,
45,39391.0894,1201345.065,44219.1214,1196517.033,85.66849678,85.66849678,1.407080765,59.99655386,40.77346128,194.775193,841.3003227,932.4907717,0,,,,
46,39391.0894,1196517.033,44219.1214,1191689.001,85.97023893,85.97023893,1.41365305,58.93259051,41.12924634,195.9055889,845.1921239,949.1823057,1,,,,
47,39391.0894,1191689.001,44219.1214,1186860.969,86.26560395,86.26560395,1.419586301,57.90284627,41.44881389,196.9607165,848.8061756,965.4695161,1,,,,
48,44219.1214,1206173.097,49047.1534,1201345.065,85.57837688,85.57837688,1.39843619,61.28460151,40.20255533,193.494692,836.7554603,911.4064118,0,,,,
49,44219.1214,1201345.065,49047.1534,1196517.033,85.79698402,85.79698402,1.402117199,60.7776628,40.37636035,194.1132808,838.9140718,919.4621971,0.00E+00,,,,
50,44219.1214,1196517.033,49047.1534,1191689.001,86.10158238,86.10158238,1.40802374,59.9178557,40.67772265,195.0947985,842.3489174,933.2508742,1,,,,
51,44219.1214,1191689.001,49047.1534,1186860.969,86.41292801,86.41292801,1.413475875,59.09526649,40.94833748,196.0143144,845.5756392,946.4970157,1,,,,
52,49047.1534,1206173.097,53875.1854,1201345.065,85.67802357,85.67802357,1.395880781,61.6999258,39.97806069,193.1577226,835.5485059,904.174006,0,,,,
53,49047.1534,1201345.065,53875.1854,1196517.033,85.97035928,85.97035928,1.398475796,61.44856274,40.03427307,193.6019191,837.141781,907.9597703,0,,,,
54,49047.1534,1196517.033,53875.1854,1191689.001,86.26040909,86.26040909,1.403410535,60.80604113,40.26699909,194.3952021,839.971107,918.4336485,0,,,,
55,49047.1534,1191689.001,53875.1854,1186860.969,86.58402443,86.58402443,1.408481626,60.13863572,40.49824771,195.2095456,842.9007162,929.3396775,1,,,,
56,53875.1854,1201345.065,58703.2174,1196517.033,86.14817077,86.14817077,1.39502482,62.14928496,39.68731308,193.0852288,835.3966835,895.7770075,1,,,,
57,53875.1854,1196517.033,58703.2174,1191689.001,86.43342535,86.43342535,1.39960233,61.60962334,39.89280835,193.7954567,837.9768561,904.7218469,0,,,,
58,53875.1854,1191689.001,58703.2174,1186860.969,86.76545006,86.76545006,1.404361451,61.06099521,40.09210066,194.5273033,840.6725295,913.8007121,0,,,,
59,58703.2174,1206173.097,63531.2494,1201345.065,86.13562922,86.13562922,1.388391177,63.24199098,39.18073127,192.069208,831.8428193,876.7882302,0,,,,
60,58703.2174,1201345.065,63531.2494,1196517.033,86.30882871,86.30882871,1.39185077,62.83080752,39.35600112,192.593111,833.7471636,883.8011077,0,,,,
61,58703.2174,1196517.033,63531.2494,1191689.001,86.61173394,86.61173394,1.396441368,62.33930049,39.55149164,193.2842943,836.3007451,892.063952,0,,,,
62,58703.2174,1191689.001,63531.2494,1186860.969,86.94399944,86.94399944,1.400921011,61.88101438,39.72587252,193.9488892,838.798358,899.7366008,0,,,,
63,63531.2494,1206173.097,68359.2814,1201345.065,86.25615062,86.25615062,1.385101647,63.91712819,38.84970963,191.5658141,830.114136,864.7253478,0,,,,
64,63531.2494,1201345.065,68359.2814,1196517.033,86.47648441,86.47648441,1.38940643,63.42628855,39.06640603,192.2059681,832.4662446,873.2203547,0,,,,
65,63531.2494,1196517.033,68359.2814,1191689.001,86.79068981,86.79068981,1.393778713,63.0102172,39.23699763,192.846689,834.8751296,880.2867645,0,,,,
66,63531.2494,1191689.001,68359.2814,1186860.969,87.08284275,87.08284275,1.397622805,62.65059421,39.38076989,193.4022929,836.9924354,886.3797424,1,,,,
67,68359.2814,1211001.129,73187.3134,1206173.097,86.09635221,86.09635221,1.378958254,64.76363276,38.4477495,190.6539696,826.8070318,849.6819372,0,,,,
68,68359.2814,1206173.097,73187.3134,1201345.065,86.35372905,86.35372905,1.38310688,64.36839861,38.62771442,191.2603417,829.0631881,856.5937226,0,,,,
69,68359.2814,1201345.065,73187.3134,1196517.033,86.64457941,86.64457941,1.387370449,63.97769401,38.79948379,191.8795212,831.3894423,863.3565017,0,,,,
70,68359.2814,1196517.033,73187.3134,1191689.001,86.96344839,86.96344839,1.391556311,63.62008198,38.95112715,192.4789856,833.6764253,869.4922165,0,,,,
71,68359.2814,1191689.001,73187.3134,1186860.969,87.22228292,87.22228292,1.394806848,63.3477244,39.06445062,192.9379735,835.4503558,874.1534973,1,,,,
72,73187.3134,1211001.129,78015.3454,1206173.097,86.26387368,86.26387368,1.378325569,65.07622296,38.28777623,190.554784,826.495646,843.9202628,0,,,,
73,73187.3134,1206173.097,78015.3454,1201345.065,86.51277437,86.51277437,1.381650887,64.81820804,38.40538541,191.032576,828.3012948,848.4296955,0,,,,
74,73187.3134,1201345.065,78015.3454,1196517.033,86.81242571,86.81242571,1.385699925,64.48812705,38.55386947,191.6099159,830.4992072,854.1868131,0,,,,
75,73187.3134,1196517.033,78015.3454,1191689.001,87.1288358,87.1288358,1.389673296,64.18130883,38.68853201,192.1682116,832.6552843,859.5037892,0,,,,
76,73187.3134,1191689.001,78015.3454,1186860.969,87.35304325,87.35304325,1.392483148,63.95803103,38.7854745,192.5590617,834.1782059,863.3693704,0,,,,
77,78015.3454,1211001.129,82843.3774,1206173.097,86.4327315,86.4327315,1.377896113,65.37106715,38.13932622,190.4847927,826.2846387,838.4977113,0.200000003,,,,
78,78015.3454,1206173.097,82843.3774,1201345.065,86.69016076,86.69016076,1.380714806,65.22174602,38.20774508,190.8820131,827.8109253,841.0931598,0,,,,
79,78015.3454,1201345.065,82843.3774,1196517.033,86.9726153,86.9726153,1.384280808,64.96475911,38.32634217,191.38227,829.7376806,845.6091169,0,,,,
80,78015.3454,1196517.033,82843.3774,1191689.001,87.28530951,87.28530951,1.388065026,64.70006988,38.44659151,191.905824,831.7799334,850.2406315,0,,,,
81,78015.3454,1191689.001,82843.3774,1186860.969,87.47022835,87.47022835,1.390454832,64.50949279,38.53256001,192.2351699,833.0688653,853.5787116,0,,,,
82,82843.3774,1211001.129,87671.4094,1206173.097,86.63661525,86.63661525,1.377715363,65.68761165,37.9832706,190.4491972,826.2009042,832.6991845,2.00E-01,,,,
83,82843.3774,1206173.097,87671.4094,1201345.065,86.84262143,86.84262143,1.37977188,65.61074523,38.01998459,190.7347453,827.3097206,834.0396789,0.200000003,,,,
84,82843.3774,1201345.065,87671.4094,1196517.033,87.12403713,87.12403713,1.383071342,65.4101819,38.11546676,191.1913893,829.0853298,837.5904858,0,,,,
85,82843.3774,1196517.033,87671.4094,1191689.001,87.43104905,87.43104905,1.386677703,65.18073209,38.22339499,191.684322,831.0232712,841.6441658,0,,,,
86,82843.3774,1191689.001,87671.4094,1186860.969,87.56953735,87.56953735,1.388910752,64.95521651,38.32781392,191.9930885,832.2250846,845.641292,0,,,,
87,87671.4094,1206173.097,92499.4414,1201345.065,87.04390224,87.04390224,1.380688889,65.74031761,37.95872186,190.8543731,827.8039813,831.6715242,0,,,,
88,87671.4094,1201345.065,92499.4414,1196517.033,87.30528288,87.30528288,1.382477615,65.80291027,37.93164506,191.0925392,828.7616911,830.5234522,0,,,,
89,87671.4094,1196517.033,92499.4414,1191689.001,87.54885754,87.54885754,1.38530406,65.63362496,38.01391765,191.4753014,830.2755179,833.5430969,0,,,,
90,92499.4414,1201345.065,97327.4734,1196517.033,87.43909145,87.43909145,1.382024208,66.10849801,37.79015108,191.0210824,828.5132288,825.0394404,0.200000003,,,,
91,92499.4414,1196517.033,97327.4734,1191689.001,87.63963464,87.63963464,1.384056344,66.03264724,37.82982665,191.2935428,829.5982168,826.4072802,0,,,,
92,-124761.9986,1056504.105,-119933.9666,1051676.073,54.49590112,54.49590112,0.909518416,113.7811896,18.31727216,170.3152728,657.6537084,325.6326504,1,,,,
93,-124761.9986,1051676.073,-119933.9666,1046848.041,53.37884898,53.37884898,0.919698266,112.2629456,18.70916031,177.0767542,670.4197893,336.923378,1,,,,
94,-124761.9986,1046848.041,-119933.9666,1042020.009,52.64971904,52.64971904,0.932064089,114.0064503,19.15051854,183.833811,684.3160823,343.6436123,1,,,,
95,-124761.9986,1042020.009,-119933.9666,1037191.977,52.90398402,52.90398402,0.963280407,121.4131099,19.97111482,195.0892539,709.7023109,348.662152,1,,,,
96,-124761.9986,1037191.977,-119933.9666,1032363.945,53.82730112,53.82730112,0.991729212,140.3486234,20.29460141,210.5466709,740.5330549,345.1694144,1,,,,
97,-124761.9986,1032363.945,-119933.9666,1027535.913,55.41656628,55.41656628,0.995007492,176.6935527,19.56164558,233.2799899,776.639797,330.6736122,0,,,,
98,-124761.9986,1027535.913,-119933.9666,1022707.881,57.31648413,57.31648413,0.989967436,212.2141075,18.84485285,255.7574544,813.3317167,318.3796791,1,,,,
99,-124761.9986,1022707.881,-119933.9666,1017879.849,58.72403959,58.72403959,1.054383808,200.2386322,20.94906541,252.6963648,832.7955992,336.0380848,0,,,,
