,Unnamed: 0,StateWellNumber,StateWel_1,LatitudeDD,Dlat,Mlat,Slat,LongitudeD,Dlong,Mlong,Slong,TDS_mg/L,WellDepth,SAR,Hardness_mg/L,Calcium_mg/L,Magnesium_mg/L,Sulfate_mg/L,Chloride_mg/L,Fluoride_mg/L,pH,Texture_SSURGO,Texture_Num,Clay_SSURGO,SAR_SSURGO,EC_SSURGO,label,ppt
0,0,1819901,1819901,33.625555,33,37,32.0,-96.658056,96,39,29.0,360.0,872,24.24,6.0,1.2,0.85,30.0,11.0,1.0,8.3,Silty clay,2,55.0,1,2.0,0,1073.851318
1,1,1820804,1820804,33.635834,33,38,9.0,-96.564167,96,33,51.0,551.5,1044,27.7225,14.25,2.25,2.25,42.25,12.75,1.0,8.75,Silty clay,2,55.0,1,2.0,0,1074.579956
2,2,1820805,1820805,33.641667,33,38,30.0,-96.560278,96,33,37.0,202.0,1022,24.42,2.0,0.8,0.05,17.5,13.4,0.3,7.2,Silty clay,2,55.0,1,2.0,0,1073.386353
3,3,1827203,1827203,33.621111,33,37,16.0,-96.683611,96,41,1.0,2306.0,900,76.9575,27.25,7.0,2.5,18.25,980.25,2.125,8.15,Silty clay,2,55.0,1,2.0,1,1073.851318
4,4,1827801,1827801,33.5325,33,31,57.0,-96.701945,96,42,7.0,479.5714286,950,51.97142857,2.285714286,0.8,0.31,68.0,11.5,0.81,8.734285714,Silty clay,2,55.0,1,2.0,0,1051.391113
5,5,1827804,1827804,33.525,33,31,30.0,-96.6725,96,40,21.0,651.3333333,1061,58.84,3.666666667,0.866666667,0.506666667,100.0,13.66666667,0.866666667,8.536666667,Silty clay,2,55.0,1,2.0,0,1055.994873
6,6,1828301,1828301,33.612778,33,36,46.0,-96.535,96,32,6.0,320.0,745,21.96,7.0,2.0,0.5,20.0,4.0,0.8,9.0,Silty clay,2,55.0,1,2.0,0,1073.386353
7,7,1829103,1829103,33.603889,33,36,14.0,-96.465834,96,27,57.0,333.5,970,19.82,7.5,1.5,1.0,47.5,10.0,0.7,8.4,Silty clay,2,55.0,1,2.0,0,1080.079712
8,8,1835601,1835601,33.4533333,33,27,12.0,-96.645,96,38,42.0,798.0,1023,61.182,5.6,1.0,1.0,74.0,29.0,1.402,8.812,Silty clay,2,55.0,1,2.0,0,1052.290772
9,9,1837601,1837601,33.422778,33,25,22.0,-96.402223,96,24,8.0,742.0,1638,48.56,6.0,1.0,1.0,176.0,45.0,1.2,8.55,Silty clay,2,55.0,1,2.0,0,1080.505859
10,10,1837603,1837603,33.423611,33,25,25.0,-96.402223,96,24,8.0,749.0,1780,66.115,3.5,1.6,0.2,180.6,47.5,1.055,8.4325,Silty clay,2,55.0,1,2.0,0,1080.505859
11,11,1845803,1845803,33.277222,33,16,38.0,-96.431944,96,25,55.0,426.0,1890,35.8,4.0,1.6,0.1,50.0,26.9,1.0,8.5,Silty clay,2,55.0,1,2.0,0,1074.323608
12,12,1849602,1849602,33.168611,33,10,7.0,-96.890556,96,53,26.0,1557.0,570,76.63,11.0,3.0,1.0,288.0,256.0,2.4,8.7,Clay loam,6,53.0,5,2.0,1,1001.154358
13,13,1849901,1849901,33.154167,33,9,15.0,-96.886945,96,53,13.0,1884.0,275,64.12,23.0,6.0,2.0,408.0,370.0,3.4,8.0,Clay loam,6,53.0,5,2.0,1,1001.154358
