,id,left,top,right,bottom,label_KNNpred
0,1.0,-18545.2946,1196517.033,-13717.2626,1191689.001,1.0
1,2.0,-18545.2946,1191689.001,-13717.2626,1186860.969,1.0
2,3.0,-13717.2626,1201345.065,-8889.230595,1196517.033,1.0
3,4.0,-13717.2626,1196517.033,-8889.230595,1191689.001,1.0
4,5.0,-13717.2626,1191689.001,-8889.230595,1186860.969,1.0
5,6.0,-8889.230595,1201345.065,-4061.198595,1196517.033,1.0
6,7.0,-8889.230595,1196517.033,-4061.198595,1191689.001,1.0
7,8.0,-8889.230595,1191689.001,-4061.198595,1186860.969,1.0
8,9.0,-4061.198595,1201345.065,766.8334048,1196517.033,1.0
9,10.0,-4061.198595,1196517.033,766.8334048,1191689.001,1.0
10,11.0,-4061.198595,1191689.001,766.8334048,1186860.969,1.0
11,12.0,766.8334048,1206173.097,5594.865405,1201345.065,1.0
12,13.0,766.8334048,1201345.065,5594.865405,1196517.033,1.0
13,14.0,766.8334048,1196517.033,5594.865405,1191689.001,1.0
14,15.0,766.8334048,1191689.001,5594.865405,1186860.969,1.0
15,16.0,5594.865405,1206173.097,10422.8974,1201345.065,1.0
16,17.0,5594.865405,1201345.065,10422.8974,1196517.033,1.0
17,18.0,5594.865405,1196517.033,10422.8974,1191689.001,1.0
18,19.0,5594.865405,1191689.001,10422.8974,1186860.969,1.0
19,20.0,10422.8974,1201345.065,15250.9294,1196517.033,1.0
20,21.0,10422.8974,1196517.033,15250.9294,1191689.001,1.0
21,22.0,10422.8974,1191689.001,15250.9294,1186860.969,1.0
22,23.0,15250.9294,1201345.065,20078.9614,1196517.033,1.0
23,24.0,15250.9294,1196517.033,20078.9614,1191689.001,1.0
24,25.0,15250.9294,1191689.001,20078.9614,1186860.969,1.0
25,26.0,20078.9614,1206173.097,24906.9934,1201345.065,1.0
26,27.0,20078.9614,1201345.065,24906.9934,1196517.033,1.0
27,28.0,20078.9614,1196517.033,24906.9934,1191689.001,1.0
28,29.0,20078.9614,1191689.001,24906.9934,1186860.969,1.0
29,30.0,24906.9934,1206173.097,29735.0254,1201345.065,1.0
30,31.0,24906.9934,1201345.065,29735.0254,1196517.033,1.0
31,32.0,24906.9934,1196517.033,29735.0254,1191689.001,1.0
32,33.0,24906.9934,1191689.001,29735.0254,1186860.969,1.0
33,34.0,29735.0254,1206173.097,34563.0574,1201345.065,1.0
34,35.0,29735.0254,1201345.065,34563.0574,1196517.033,1.0
35,36.0,29735.0254,1196517.033,34563.0574,1191689.001,1.0
36,37.0,29735.0254,1191689.001,34563.0574,1186860.969,1.0
37,38.0,34563.0574,1211001.129,39391.0894,1206173.097,1.0
38,39.0,34563.0574,1206173.097,39391.0894,1201345.065,1.0
39,40.0,34563.0574,1201345.065,39391.0894,1196517.033,1.0
40,41.0,34563.0574,1196517.033,39391.0894,1191689.001,1.0
41,42.0,34563.0574,1191689.001,39391.0894,1186860.969,1.0
42,43.0,39391.0894,1211001.129,44219.1214,1206173.097,1.0
43,44.0,39391.0894,1206173.097,44219.1214,1201345.065,1.0
44,45.0,39391.0894,1201345.065,44219.1214,1196517.033,1.0
45,46.0,39391.0894,1196517.033,44219.1214,1191689.001,1.0
46,47.0,39391.0894,1191689.001,44219.1214,1186860.969,1.0
47,48.0,44219.1214,1206173.097,49047.1534,1201345.065,1.0
48,49.0,44219.1214,1201345.065,49047.1534,1196517.033,1.0
49,50.0,44219.1214,1196517.033,49047.1534,1191689.001,1.0
50,51.0,44219.1214,1191689.001,49047.1534,1186860.969,1.0
51,52.0,49047.1534,1206173.097,53875.1854,1201345.065,1.0
52,53.0,49047.1534,1201345.065,53875.1854,1196517.033,1.0
53,54.0,49047.1534,1196517.033,53875.1854,1191689.001,1.0
54,55.0,49047.1534,1191689.001,53875.1854,1186860.969,1.0
55,56.0,53875.1854,1201345.065,58703.2174,1196517.033,1.0
56,57.0,53875.1854,1196517.033,58703.2174,1191689.001,1.0
57,58.0,53875.1854,1191689.001,58703.2174,1186860.969,1.0
58,59.0,58703.2174,1206173.097,63531.2494,1201345.065,1.0
59,60.0,58703.2174,1201345.065,63531.2494,1196517.033,1.0
60,61.0,58703.2174,1196517.033,63531.2494,1191689.001,1.0
61,62.0,58703.2174,1191689.001,63531.2494,1186860.969,1.0
62,63.0,63531.2494,1206173.097,68359.2814,1201345.065,1.0
63,64.0,63531.2494,1201345.065,68359.2814,1196517.033,1.0
64,65.0,63531.2494,1196517.033,68359.2814,1191689.001,1.0
65,66.0,63531.2494,1191689.001,68359.2814,1186860.969,1.0
66,67.0,68359.2814,1211001.129,73187.3134,1206173.097,1.0
67,68.0,68359.2814,1206173.097,73187.3134,1201345.065,1.0
68,69.0,68359.2814,1201345.065,73187.3134,1196517.033,1.0
69,70.0,68359.2814,1196517.033,73187.3134,1191689.001,1.0
70,71.0,68359.2814,1191689.001,73187.3134,1186860.969,1.0
71,72.0,73187.3134,1211001.129,78015.3454,1206173.097,1.0
72,73.0,73187.3134,1206173.097,78015.3454,1201345.065,1.0
73,74.0,73187.3134,1201345.065,78015.3454,1196517.033,1.0
74,75.0,73187.3134,1196517.033,78015.3454,1191689.001,1.0
75,76.0,73187.3134,1191689.001,78015.3454,1186860.969,1.0
76,77.0,78015.3454,1211001.129,82843.3774,1206173.097,1.0
77,78.0,78015.3454,1206173.097,82843.3774,1201345.065,1.0
78,79.0,78015.3454,1201345.065,82843.3774,1196517.033,1.0
79,80.0,78015.3454,1196517.033,82843.3774,1191689.001,1.0
80,81.0,78015.3454,1191689.001,82843.3774,1186860.969,1.0
81,82.0,82843.3774,1211001.129,87671.4094,1206173.097,1.0
82,83.0,82843.3774,1206173.097,87671.4094,1201345.065,1.0
83,84.0,82843.3774,1201345.065,87671.4094,1196517.033,1.0
84,85.0,82843.3774,1196517.033,87671.4094,1191689.001,1.0
85,86.0,82843.3774,1191689.001,87671.4094,1186860.969,1.0
86,87.0,87671.4094,1206173.097,92499.4414,1201345.065,1.0
87,88.0,87671.4094,1201345.065,92499.4414,1196517.033,1.0
88,89.0,87671.4094,1196517.033,92499.4414,1191689.001,1.0
89,90.0,92499.4414,1201345.065,97327.4734,1196517.033,1.0
90,91.0,92499.4414,1196517.033,97327.4734,1191689.001,1.0
91,92.0,-124761.9986,1056504.105,-119933.9666,1051676.073,0.0
92,93.0,-124761.9986,1051676.073,-119933.9666,1046848.041,0.0
93,94.0,-124761.9986,1046848.041,-119933.9666,1042020.009,0.0
94,95.0,-124761.9986,1042020.009,-119933.9666,1037191.977,0.0
95,96.0,-124761.9986,1037191.977,-119933.9666,1032363.945,0.0
96,97.0,-124761.9986,1032363.945,-119933.9666,1027535.913,0.0
97,98.0,-124761.9986,1027535.913,-119933.9666,1022707.881,0.0
98,99.0,-124761.9986,1022707.881,-119933.9666,1017879.849,0.0
99,100.0,-124761.9986,1017879.849,-119933.9666,1013051.817,0.0
100,101.0,-124761.9986,1013051.817,-119933.9666,1008223.785,0.0
101,102.0,-124761.9986,1008223.785,-119933.9666,1003395.753,0.0
102,103.0,-124761.9986,1003395.753,-119933.9666,998567.7206,0.0
103,104.0,-124761.9986,998567.7206,-119933.9666,993739.6886,0.0
